ARTNUM,ORIGINAL_ART_NO,MANUFACTURER,STOCK_QTY
bix300ll-2,SRP-S300IIBAK/BEG,BIXOLON,0
bix300ll-3,SRP-S300IIPWK/BEG,BIXOLON,0
bix300ll-4,SRP-S300IISK/BEG,BIXOLON,0
bix300ll-5,SRP-S300IIWDAK/BEG,BIXOLON,0
bix300ll-6,SRP-S300IIXK/BEG,BIXOLON,0
bix300ll-7,SRP-S300IIXSK/BEG,BIXOLON,0
bix300ll-8,SRP-S300IIXPWK/BEG,BIXOLON,0
bix300ll-9,SRP-S300IIXBaK/BEG,BIXOLON,0
bix3322coesk,SRP-332IICOESK/BEG,BIXOLON,0
bix3323sk,SRP-330IIISK/BEG,BIXOLON,44
bix350cover,"RSC-350PLUS V2",BIXOLON,0
bix350pv,SRP-350plusVBaK/BEG,BIXOLON,0
bix350pv-2,SRP-350PLUSVK/BEG,BIXOLON,69
bix350pv-3,SRP-350PlusVPWK,BIXOLON,0
bix350pv-4,SRP-350plusVSK/BEG,BIXOLON,75
bix350pv-5,SRP-350PLUSVWDAK/BEG,BIXOLON,5
bix350pv-6,SRP-350VSK/BEG,BIXOLON,9
bix350pv-7,SRP-350VK/BEG,BIXOLON,0
bix350vstand,RVS-350G,BIXOLON,7
bix352pv,SRP-352plusVBaK/BEG,BIXOLON,0
bix352pv-4,SRP-352plusVSK/BEG,BIXOLON,0
bix352pv-5,SRP-352plusVWDaK/BEG,BIXOLON,0
bix352pvk,SRP-352plusVK/BEG,BIXOLON,1
bix352v,SRP-352VK/BEG,BIXOLON,0
bix352v-2,SRP-352VSK/BEG,BIXOLON,0
bix380,SRP-380BiK,BIXOLON,0
bix380-2,SRP-380EK,BIXOLON,0
bix380-3,SRP-380K,BIXOLON,0
bix380-4,SRP-380PWK,BIXOLON,0
bix380-5,SRP-380SK,BIXOLON,0
bix380-6,SRP-380WK,BIXOLON,0
bix382,SRP-382BiK,BIXOLON,0
bix382-2,SRP-382EK/BEG,BIXOLON,0
bix382-3,SRP-382K/BEG,BIXOLON,3
bix382-4,SRP-382PWK,BIXOLON,0
bix382-5,SRP-382SK,BIXOLON,0
bix382-6,SRP-382WK,BIXOLON,0
bixassycut-2,AU04-00039A-AS,BIXOLON,0
bixbatc,PBP-C100/STD,BIXOLON,0
bixbclipc,PBL-R210W/STD,BIXOLON,0
bixbk3-31ac,BK3-31AC/BEG,BIXOLON,0
bixbk3-31zc,BK3-31zC/BEG,BIXOLON,0
bixbk3p-31aa,BK3P-31aA/BEG,BIXOLON,0
bixbk3p-31ab,BK3P-31aB/BEG,BIXOLON,0
bixbk3p-31ac,BK3P-31aC/BEG,BIXOLON,2
bixbk3p-31ad,BK3P-31aD,BIXOLON,0
bixbk3p-31za,BK3P-31zA/BEG,BIXOLON,0
bixbk3p-31zc,BK3P-31zC/BEG,BIXOLON,0
bixbk3p-31zd,BK3P-31zD,BIXOLON,0
bixbk5t,BK5T-31aB/BEG,BIXOLON,0
bixbuzzer2,RMB-100G,BIXOLON,0
bixc200,SPP-C200iK/BEG,BIXOLON,5
bixc300ik,SPP-C300IK/BEG,BIXOLON,0
bixcabpar2,PAR-KAB-180,BIXOLON,0
bixcabpu,K604-252B,BIXOLON,0
bixcabser2,SER-KAB-9-25,BIXOLON,0
bixcabser4,K610-00017A,BIXOLON,0
bixcabser7,PIC-R300S/STD,BIXOLON,0
bixcabser9,SER-KAB-9-9,BIXOLON,0
bixcabu,PIC-R300U/STD,BIXOLON,34
bixcabu2,USB-KAB-G,BIXOLON,0
bixcabu3,PIC-3000U/STD,BIXOLON,0
bixchgusb,PUC-1000/STD,BIXOLON,13
bixdl410ek,SLP-DL410EK/beg,BIXOLON,0
bixdl410ph8,TPH-DL410,BIXOLON,0
bixdl413ph8,TPH-DL413,BIXOLON,0
bixdx220bg,SLP-DX220BG,BIXOLON,0
bixdx220cut,CUTTER-DX220-DG,BIXOLON,0
bixdx220deg,SLP-DX220DEG,BIXOLON,0
